artist,song,decade
Gene Autry,"Rudolph, The Red-nosed Reindeer",1950
The Andrews Sisters,"I Can Dream, Can't I",1950
The Ames Brothers,Rag Mop,1950
Red Foley,Chattanoogie Shoe Shine Boy,1950
Teresa Brewer,Music! Music! Music!,1950
Eileen Barton,If I Knew You Were Comin' I'd've Baked a Cake,1950
Anton Karas,The Third Man Theme,1950
Nat King Cole,Mona Lisa,1950
Gordon Jenkins and The Weavers,Goodnight Irene,1950
Sammy Kaye,Harbor Lights,1950
Phil Harris,The Thing,1950
Patti Page,The Tennessee Waltz,1950
Perry Como,If,1950
Mario Lanza,Be My Love,1950
Les Paul and Mary Ford,How High The Moon,1950
Nat King Cole,Too Young,1950
Rosemary Clooney,Come On-a My House,1950
Tony Bennett,Because Of You,1950
Tony Bennett,"Cold, Cold Heart",1950
Eddy Howard,Sin (It's No Sin),1950
Johnnie Ray and The Four Lads,Cry,1950
Kay Starr,Wheel Of Fortune,1950
Leroy Anderson,Blue Tango,1950
Al Martino,Here In My Heart,1950
Percy Faith,Delicado,1950
Vera Lynn,Auf Wiederseh'n Sweetheart,1950
Jo Stafford,You Belong To Me,1950
Patti Page,I Went To Your Wedding,1950
Johnny Standley,It's In The Book (parts 1 & 2),1950
Joni James,Why Don't You Believe Me,1950
Jimmy Boyd,I Saw Mommy Kissing Santa Claus,1950
Perry Como,Don't Let the Stars Get in Your Eyes,1950
Teresa Brewer,Till I Waltz Again With You,1950
Patti Page,The Doggie In The Window,1950
Percy Faith,The Song From Moulin Rouge (Where Is Your Heart),1950
Eddie Fisher,I'm Walking Behind You,1950
Les Paul and Mary Ford,Vaya Con Dios (May God Be With You),1950
Stan Freberg,St. George And The Dragonet,1950
Tony Bennett,Rags To Riches,1950
Eddie Fisher,Oh! My Pa-pa (O Mein Papa),1950
Doris Day,Secret Love,1950
Jo Stafford,Make Love To Me!,1950
Perry Como,Wanted,1950
Kitty Kallen,Little Things Mean A Lot,1950
The Crew Cuts,Sh-Boom,1950
Rosemary Clooney,Hey There,1950
Rosemary Clooney,This Ole House,1950
Eddie Fisher,I Need You Now,1950
The Chordettes,Mr. Sandman,1950
Joan Weber,"Let Me Go, Lover!",1950
The Fontane Sisters,Hearts Of Stone,1950
The McGuire Sisters,Sincerely,1950
Bill Hayes,The Ballad Of Davy Crockett,1950
Pérez Prado,Cherry Pink And Apple Blossom White,1950
Bill Haley & His Comets,Rock Around The Clock,1950
Mitch Miller,The Yellow Rose of Texas,1950
The Four Aces,Love Is A Many Splendored Thing,1950
Roger Williams,Autumn Leaves,1950
Tennessee Ernie Ford,Sixteen Tons,1950
Dean Martin,Memories Are Made Of This,1950
Kay Starr,Rock And Roll Waltz,1950
Nelson Riddle,Lisbon Antigua,1950
Les Baxter,Poor People Of Paris,1950
Elvis Presley,Heartbreak Hotel,1950
Gogi Grant,The Wayward Wind,1950
Elvis Presley,"I Want You, I Need You, I Love You",1950
The Platters,My Prayer,1950
Elvis Presley,Don't Be Cruel,1950
Elvis Presley,Love Me Tender,1950
Guy Mitchell,Singing The Blues,1950
Elvis Presley,Too Much,1950
Tab Hunter,Young Love,1950
Buddy Knox,Party Doll,1950
Perry Como,Round And Round,1950
Elvis Presley,All Shook Up,1950
