,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
0,Gene Autry,"Rudolph, The Red-nosed Reindeer",1950,6ymkab3FTjiFzSJwhal59m,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/65/f4/5a/65f45a41-dc8f-c915-617d-49ef0a62fc3c/mzaf_7195018011053000844.plus.aac.p.m4a,Rudolph The Red-Nosed Reindeer,Gene Autry,5ixB75BQR3ADoWQkcHQJTs,holiday
1,The Andrews Sisters,"I Can Dream, Can't I",1950,4oP8eYnsSKJPC4VNfPB7dZ,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/8b/84/90/8b849034-72de-ceed-00ac-a0b10564ada4/mzaf_8143196917554485549.plus.aac.p.m4a,"I Can Dream, Can't I? - Single Version",The Andrews Sisters,2NCGI6dLTxLdI9XHdv7QfM,pop
2,The Ames Brothers,Rag Mop,1950,0fVtEGoXeRhllDU9ChQAZl,https://p.scdn.co/mp3-preview/ebd8099b71ecd6f15583a733f19227b51aecaf58?cid=b05f690e17ba4b758d92a214cfbc7f24,Rag Mop,The Ames Brothers,4oXaAEofJFedGweFqy5qiv,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
3,Red Foley,Chattanoogie Shoe Shine Boy,1950,7Jf323ttHKUnPylFWiaGl3,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/84/a9/a8/84a9a884-4097-a0ca-a6e3-389296d91a9d/mzaf_1283516095068911496.plus.aac.p.m4a,Chattanoogie Shoe Shine Boy - 1949 Single Version,Red Foley,56tggwKsz5OqCDf1i0Str9,country
4,Teresa Brewer,Music! Music! Music!,1950,0lO5EKoz1Rb1pJoPoldE4D,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/95/09/7f/95097f48-b866-6930-68ca-5e25fcaa6283/mzaf_4157827184745497134.plus.aac.p.m4a,(Put Another Nickel In) Music! Music! Music!,Teresa Brewer,2mPL4g4v9DS55zi6QctLbP,vocal
5,Eileen Barton,If I Knew You Were Comin' I'd've Baked a Cake,1950,5qhM3qBHEIFvXL8xRe3dhb,https://p.scdn.co/mp3-preview/2a67dda5b5b9681a4ad70b73720c20c8e177825d?cid=b05f690e17ba4b758d92a214cfbc7f24,"If I Knew You Were Comin', I'd've Baked a Cake",Eileen Barton,1illUSH6N5soc068Yerppx,['deep adult standards']
6,Anton Karas,The Third Man Theme,1950,6XzXeNu7FuUttdTwVl0rG1,https://p.scdn.co/mp3-preview/ec2924fb4cdf2ccdfae912463488f6242b6e4f4d?cid=b05f690e17ba4b758d92a214cfbc7f24,The Third Man: The Third Man Theme (The Third Man),Anton Karas,1N6hAy84Nd6KdUhr4BjXWS,"['classic soundtrack', 'zither']"
7,Nat King Cole,Mona Lisa,1950,5QZtX7pMnM6oF2vUKCc3U0,https://p.scdn.co/mp3-preview/bfe2f003b5b832d692bd59b34d9b2592e299b809?cid=b05f690e17ba4b758d92a214cfbc7f24,Mona Lisa,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"['adult standards', 'vocal jazz']"
8,Gordon Jenkins & His Orchestra,Goodnight Irene,1950,1fhLgOJgIIZEsWWffk8ljs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/26/80/72/26807232-ca77-51fc-941d-98563d819c7e/mzaf_1435770328892771720.plus.aac.p.m4a,Goodnight Irene,Gordon Jenkins & His Orchestra,2zxOdG2ascAD3oLdP03mYU,soundtrack
9,Sammy Kaye,Harbor Lights,1950,5eZPJFk9QBjBM1I2idumCM,https://p.scdn.co/mp3-preview/1a407e4ff1f75e3c5ceaeabd8b4377b9fcc15877?cid=b05f690e17ba4b758d92a214cfbc7f24,Harbor Lights,Sammy Kaye,54LBMS0P9mMkhfxsp73k1D,"['big band', 'swing music', 'jazz']"
