,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,audio_features,6ymkab3FTjiFzSJwhal59m,spotify:track:6ymkab3FTjiFzSJwhal59m,https://api.spotify.com/v1/tracks/6ymkab3FTjiFzSJwhal59m,https://api.spotify.com/v1/audio-analysis/6ymkab3FTjiFzSJwhal59m,171773,4
1,0.27,0.177,0,-9.791,1,0.0298,0.922,0.0,0.104,0.237,87.373,audio_features,4oP8eYnsSKJPC4VNfPB7dZ,spotify:track:4oP8eYnsSKJPC4VNfPB7dZ,https://api.spotify.com/v1/tracks/4oP8eYnsSKJPC4VNfPB7dZ,https://api.spotify.com/v1/audio-analysis/4oP8eYnsSKJPC4VNfPB7dZ,160000,4
2,0.589,0.396,7,-13.58,1,0.237,0.705,0.0,0.108,0.979,200.533,audio_features,0fVtEGoXeRhllDU9ChQAZl,spotify:track:0fVtEGoXeRhllDU9ChQAZl,https://api.spotify.com/v1/tracks/0fVtEGoXeRhllDU9ChQAZl,https://api.spotify.com/v1/audio-analysis/0fVtEGoXeRhllDU9ChQAZl,159948,4
3,0.725,0.373,10,-15.925,1,0.0494,0.613,0.0202,0.118,0.846,148.367,audio_features,7Jf323ttHKUnPylFWiaGl3,spotify:track:7Jf323ttHKUnPylFWiaGl3,https://api.spotify.com/v1/tracks/7Jf323ttHKUnPylFWiaGl3,https://api.spotify.com/v1/audio-analysis/7Jf323ttHKUnPylFWiaGl3,169000,4
4,0.752,0.443,2,-14.392,1,0.0398,0.667,2.11e-05,0.154,0.919,99.136,audio_features,0lO5EKoz1Rb1pJoPoldE4D,spotify:track:0lO5EKoz1Rb1pJoPoldE4D,https://api.spotify.com/v1/tracks/0lO5EKoz1Rb1pJoPoldE4D,https://api.spotify.com/v1/audio-analysis/0lO5EKoz1Rb1pJoPoldE4D,160667,4
5,0.727,0.287,8,-9.227,1,0.327,0.858,2.6e-06,0.057,0.922,170.17,audio_features,5qhM3qBHEIFvXL8xRe3dhb,spotify:track:5qhM3qBHEIFvXL8xRe3dhb,https://api.spotify.com/v1/tracks/5qhM3qBHEIFvXL8xRe3dhb,https://api.spotify.com/v1/audio-analysis/5qhM3qBHEIFvXL8xRe3dhb,159840,4
6,0.496,0.523,2,-11.518,1,0.0455,0.97,0.753,0.163,0.915,145.126,audio_features,6XzXeNu7FuUttdTwVl0rG1,spotify:track:6XzXeNu7FuUttdTwVl0rG1,https://api.spotify.com/v1/tracks/6XzXeNu7FuUttdTwVl0rG1,https://api.spotify.com/v1/audio-analysis/6XzXeNu7FuUttdTwVl0rG1,127613,3
7,0.253,0.306,0,-13.599,1,0.0418,0.903,0.00143,0.366,0.258,97.401,audio_features,5QZtX7pMnM6oF2vUKCc3U0,spotify:track:5QZtX7pMnM6oF2vUKCc3U0,https://api.spotify.com/v1/tracks/5QZtX7pMnM6oF2vUKCc3U0,https://api.spotify.com/v1/audio-analysis/5QZtX7pMnM6oF2vUKCc3U0,155640,4
8,0.335,0.255,5,-10.561,1,0.0277,0.843,0.0,0.26,0.556,141.158,audio_features,1fhLgOJgIIZEsWWffk8ljs,spotify:track:1fhLgOJgIIZEsWWffk8ljs,https://api.spotify.com/v1/tracks/1fhLgOJgIIZEsWWffk8ljs,https://api.spotify.com/v1/audio-analysis/1fhLgOJgIIZEsWWffk8ljs,202240,3
9,0.468,0.304,0,-13.006,1,0.034,0.737,0.186,0.12,0.0963,122.607,audio_features,5eZPJFk9QBjBM1I2idumCM,spotify:track:5eZPJFk9QBjBM1I2idumCM,https://api.spotify.com/v1/tracks/5eZPJFk9QBjBM1I2idumCM,https://api.spotify.com/v1/audio-analysis/5eZPJFk9QBjBM1I2idumCM,357587,4
