,Date,Artist,Song
0,"January 3, 1970",B. J. Thomas,Raindrops Keep Fallin' On My Head
1,"January 31, 1970",The Jackson 5,I Want You Back
2,"February 7, 1970",Shocking Blue,Venus
3,"February 14, 1970",Sly & the Family Stone,Thank You (Falettinme Be Mice Elf Agin)
4,"February 28, 1970",Simon & Garfunkel,Bridge Over Troubled Water
5,"April 11, 1970",The Beatles,Let It Be
6,"April 25, 1970",The Jackson 5,ABC
7,"May 9, 1970",The Guess Who,American Woman
8,"May 30, 1970",Ray Stevens,Everything Is Beautiful
9,"June 13, 1970",The Beatles,The Long and Winding Road
10,"June 27, 1970",The Jackson 5,The Love You Save
11,"July 11, 1970",Three Dog Night,Mama Told Me (Not to Come)
12,"July 25, 1970",The Carpenters,(They Long to Be) Close to You
13,"August 22, 1970",Bread,Make It with You
14,"August 29, 1970",Edwin Starr,War
15,"September 19, 1970",Diana Ross,Ain't No Mountain High Enough
16,"October 10, 1970",Neil Diamond,Cracklin' Rosie
17,"October 17, 1970",The Jackson 5,I'll Be There
18,"November 21, 1970",The Partridge Family,I Think I Love You
19,"December 12, 1970",Smokey Robinson & the Miracles,The Tears of a Clown
20,"December 26, 1970",George Harrison,My Sweet Lord
21,"January 23, 1971",Tony Orlando and Dawn,Knock Three Times
22,"February 13, 1971",The Osmonds,One Bad Apple
23,"March 20, 1971",Janis Joplin,Me and Bobby McGee
24,"April 3, 1971",The Temptations,Just My Imagination (Running Away with Me)
25,"April 17, 1971","Three Dog Night
",Joy to the World
26,"May 29, 1971",The Rolling Stones,Brown Sugar
27,"June 12, 1971",The Honey Cone,Want Ads
28,"June 19, 1971",Carole King,It's Too Late
29,"July 24, 1971",Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian)
30,"July 31, 1971",James Taylor,You've Got a Friend
31,"August 7, 1971",Bee Gees,How Can You Mend a Broken Heart
32,"September 4, 1971",Paul McCartney,Uncle Albert/Admiral Halsey
33,"September 11, 1971",Donny Osmond,Go Away Little Girl
34,"October 2, 1971",Rod Stewart,Maggie May
35,"November 6, 1971",Cher,"Gypsys, Tramps & Thieves"
36,"November 20, 1971",Isaac Hayes,
37,"December 4, 1971",Sly and the Family Stone,Family Affair
38,"December 25, 1971",Melanie,Brand New Key
39,"January 15, 1972",Don McLean,American Pie
40,"February 12, 1972",Al Green,Let's Stay Together
41,"February 19, 1972",Nilsson,Without You
42,"March 18, 1972",Neil Young,Heart of Gold
43,"March 25, 1972",America,A Horse with No Name
44,"April 15, 1972",Roberta Flack,The First Time Ever I Saw Your Face
45,"May 27, 1972",The Chi-Lites,Oh Girl
46,"June 3, 1972",The Staple Singers,I'll Take You There
47,"June 10, 1972",Sammy Davis Jr.,Candy Man
48,"July 1, 1972",Neil Diamond,Song Sung Blue
49,"July 8, 1972",Bill Withers,Lean On Me
50,"July 29, 1972",Gilbert O'Sullivan,Alone Again (Naturally)
51,"August 26, 1972",Looking Glass,Brandy (You're a Fine Girl)
52,"September 16, 1972",Three Dog Night,Black and White
53,"September 23, 1972",Mac Davis,"Baby, Don't Get Hooked on Me"
54,"October 14, 1972",Michael Jackson,Ben
55,"October 21, 1972",Chuck Berry,My Ding-a-Ling
56,"November 4, 1972",Johnny Nash,I Can See Clearly Now
57,"December 2, 1972",The Temptations,Papa Was a Rollin' Stone
